sample_id,appearance,temporal_name,date,lat,lon,elev_m,color_snow,habitat,substrate,subsurf_color,depth_cm,dom_morph,notes
fro18.13,spot,NA,2018-05-16,49.37867,-123.05922,1037.4,pink,forest,NA,NA,NA,hedgehog,NA
hol18.21,runnel,heather_lake,2018-05-18,49.398471,-123.184036,1246.3,green,clearing,NA,NA,NA,green,olor extends 10cm deep
hol18.26,spot,NA,2018-05-18,49.396781,-123.182136,1217.6,green,forest,NA,NA,NA,green,"green line on surface. Underlain by dirty layer, & more wet snow below that"
hol18.28b,christmas,romstad,2018-05-18,49.39163,-123.180325,1072.3,green,clearing,NA,NA,NA,NA,NA
hol18.31,spot,NA,2018-05-18,49.381454,-123.188489,941.1,pink,clearing,NA,NA,NA,balloon,balloons
sey18.21,runnel,pump,2018-06-05,49.387749,-122.942443,1365.5,green,alpine,NA,NA,NA,tangerine,"See notebook, depth approx 1.5m variableApprox halfway between bowl and rollover, slightly closer to rollover.Scooped from 2-3cm deep, along runnel area 2*20cm approx. Snow icy where green."
stm18.01a,runnel,NA,2018-06-09,49.428094,-123.206762,1354,orange,clearing,NA,NA,NA,NA,"deep green streak. Samples 2, 15, 60. Top is orange. Dug to 80cm, green color fades below 60 but still wet. Sample not alng topography, over trail."
sey18.17,runnel,NA,2018-05-28,49.387741,-122.942168,1369.1,green,alpine,NA,NA,3,NA,"between bowl and pit. Nothing visible @surf.10m below flattest or of bowl, 8m upstream of where side runnel enters main runnel3cm deep"
fro18.13a,spot,NA,2018-05-16,49.37867,-123.05922,1037.4,pink,forest,NA,NA,NA,NA,NA
hol18.22a,runnel,heather_lake,2018-05-18,49.398461,-123.184075,1246.6,green,clearing,NA,NA,5,green,NA
hol18.42,runnel,NA,2018-06-11,49.383601,-123.18439,998.3,green,clearing,NA,NA,5,oval,Green underneath
hol18.57,streak,NA,2018-06-19,49.38663,-123.181017,1058,pink,forest,NA,orange,NA,NA,NA
sey18.25b,spot,NA,2018-06-05,49.38358,-122.941745,1257,green,forest,NA,NA,5,hedgehog,NA
sey18.26b,line,NA,2018-06-05,49.380193,-122.9421,1221.8,green,forest,NA,NA,5,hedgehog,Green below orange
sky18.19b,layer,NA,2018-07-07,49.639225,-123.090742,1666.7,pink,alpine,NA,NA,NA,orb,NA
tri18.04x,spot,NA,2018-06-23,50.004854,-123.25849,1550,orange,alpine,NA,NA,5,mix,NA
