asv_id,domain,kingdom,phylum,class,order,family,genus,species,domainConf,kingdomConf,phylumConf,classConf,orderConf,familyConf,genusConf,speciesConf,id_level,assignment
001,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,Chloromonas_krienitzii,80.6345781792936,80.6345781792936,80.6345781792936,80.6345781792936,79.37614021152699,77.4353794285766,73.83046265761064,67.47399359663933,species,Chloromonas_krienitzii
002,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadalesincertaesedis,Sanguina,NA,78.74635613845909,78.74635613845909,78.74635613845909,77.71672494357225,74.69487557491763,71.49673841871093,71.49673841871093,71.49673841871093,genus,Sanguina
003,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlainomonas,Chlainomonas_rubra,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,95.00743782116184,94.27284301512474,species,Chlainomonas_rubra
004,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,NA,70.11020174052847,70.11020174052847,69.509364083797,68.94770545300902,64.47921920455151,64.47921920455151,58.834093599927314,58.834093599927314,genus,Chloromonas
005,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlainomonas,Chlainomonas_rubra,81.20107357662215,81.20107357662215,81.20107357662215,81.20107357662215,80.4407418003808,79.79440536939897,62.98254058798558,59.33775476027353,species,Chlainomonas_rubra
006,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlainomonas,NA,91.48284604035186,91.48284604035186,91.48284604035186,91.48284604035186,91.48284604035186,91.48284604035186,91.48284604035186,NA,genus,Chlainomonas
007,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,NA,NA,62.342585244202695,62.342585244202695,61.84664190217983,60.13521933453767,53.88042503757245,50.74397414171221,50.74397414171221,NA,family,Chlamydomonadaceae
008,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,NA,70.91302556525469,70.91302556525469,70.15563840047218,70.15563840047218,69.55957169364396,68.42099984116359,55.01042388718229,55.01042388718229,genus,Chloromonas
009,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadalesincertaesedis,Sanguina,Sanguina_nivaloides,100,100,100,100,100,100,100,100,species,Sanguina_nivaloides
010,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,NA,NA,70.89547207388769,70.89547207388769,70.89547207388769,69.53724363619524,68.65135755584396,68.01916411051721,68.01916411051721,NA,family,Chlamydomonadaceae
011,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlainomonas,Chlainomonas_rubra,97.99226603404308,97.99226603404308,97.99226603404308,97.99226603404308,97.99226603404308,97.99226603404308,92.4776455422776,92.4776455422776,species,Chlainomonas_rubra
012,NA,NA,NA,NA,NA,NA,NA,NA,40.77877764556617,NA,NA,NA,NA,NA,NA,NA,root,root
013,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadalesincertaesedis,Sanguina,Sanguina_nivaloides,88.03193809700332,88.03193809700332,88.03193809700332,88.03193809700332,88.03193809700332,88.03193809700332,88.03193809700332,70.06879232864463,species,Sanguina_nivaloides
014,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadalesincertaesedis,Sanguina,Sanguina_nivaloides,97.99197323700209,97.99197323700209,97.99197323700209,97.99197323700209,97.99197323700209,97.99197323700209,97.99197323700209,96.08722602797422,species,Sanguina_nivaloides
015,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,Chloromonas_krienitzii,80.28781371531181,80.28781371531181,80.28781371531181,80.28781371531181,77.43079849613373,76.15295929354988,72.80291636990694,59.858643326640184,species,Chloromonas_krienitzii
016,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlainomonas,NA,93.42870134759241,93.42870134759241,93.42870134759241,93.42870134759241,93.42870134759241,93.42870134759241,93.42870134759241,NA,genus,Chlainomonas
017,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,NA,NA,NA,59.09938438163495,59.09938438163495,58.68407379948991,56.025914425082924,50.84376387212299,50.84376387212299,NA,NA,order,Chlamydomonadales
018,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,NA,NA,NA,NA,60.181407890553,59.75741159222927,58.6772766550013,56.60700206201873,56.60700206201873,NA,NA,NA,class,Chlorophyceae
019,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,NA,NA,66.54738355717377,66.54738355717377,66.05310447281727,65.06973612040353,62.42946871249533,60.79913917060476,60.79913917060476,NA,family,Chlamydomonadaceae
020,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadalesincertaesedis,Sanguina,Sanguina_nivaloides,89.10971936767702,89.10971936767702,89.10971936767702,89.10971936767702,88.46476826892962,88.46476826892962,88.46476826892962,82.54648581926062,species,Sanguina_nivaloides
021,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,NA,NA,72.1499210736319,72.1499210736319,72.1499210736319,67.39054896841947,64.05726703800475,63.3374767487475,63.3374767487475,NA,family,Chlamydomonadaceae
022,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadalesincertaesedis,Sanguina,NA,76.35870377281773,76.35870377281773,76.35870377281773,75.66489489070341,74.00523209894922,73.41101309816139,73.41101309816139,73.41101309816139,genus,Sanguina
023,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,NA,NA,81.82259154720913,81.82259154720913,81.82259154720913,81.82259154720913,81.82259154720913,81.82259154720913,81.82259154720913,NA,family,Chlamydomonadaceae
024,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,Chloromonas_krienitzii,80.79145351016439,80.79145351016439,80.79145351016439,80.79145351016439,77.84268205404737,77.14877893814261,62.447153567903506,52.34864641290227,species,Chloromonas_krienitzii
025,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,NA,NA,66.74129395402235,66.74129395402235,66.74129395402235,65.64145446714356,62.37564353807279,61.21063832821556,61.21063832821556,NA,family,Chlamydomonadaceae
026,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,NA,NA,76.25258787466579,76.25258787466579,76.25258787466579,75.75594256419217,73.72300233368877,73.06931002524259,73.06931002524259,NA,family,Chlamydomonadaceae
027,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadalesincertaesedis,Sanguina,Sanguina_nivaloides,83.29333526564267,83.29333526564267,83.29333526564267,82.71882275439688,82.71882275439688,82.71882275439688,82.71882275439688,67.54197796090504,species,Sanguina_nivaloides
028,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,NA,NA,NA,65.8538143500831,65.8538143500831,65.8538143500831,62.81757643800094,51.9855988911238,51.9855988911238,NA,NA,order,Chlamydomonadales
029,NA,NA,NA,NA,NA,NA,NA,NA,42.83663865560714,NA,NA,NA,NA,NA,NA,NA,root,root
030,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlainomonas,NA,81.64474493460136,81.64474493460136,81.64474493460136,80.37656893015749,79.11855399955245,79.11855399955245,74.78127473449068,NA,genus,Chlainomonas
031,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,NA,NA,72.09822549667265,72.09822549667265,72.09822549667265,68.25754991363715,62.79658838826518,62.17501299091114,62.17501299091114,NA,family,Chlamydomonadaceae
032,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadalesincertaesedis,Sanguina,Sanguina_nivaloides,92.33774668325267,92.33774668325267,92.33774668325267,92.33774668325267,92.33774668325267,92.33774668325267,92.33774668325267,64.29835289289605,species,Sanguina_nivaloides
033,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,NA,78.53798879841568,78.53798879841568,78.53798879841568,78.53798879841568,76.62747394908556,74.47225165920594,63.28107890681441,63.28107890681441,genus,Chloromonas
034,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,NA,NA,72.403507830545,72.403507830545,71.82926429702387,68.67992569299953,66.82002935984373,66.12455532440889,66.12455532440889,NA,family,Chlamydomonadaceae
035,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,NA,NA,65.06681248144459,65.06681248144459,63.388210478569086,61.81957865252711,59.228806594084325,59.228806594084325,59.228806594084325,NA,family,Chlamydomonadaceae
036,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadalesincertaesedis,Sanguina,Sanguina_nivaloides,86.80964204201275,86.80964204201275,86.80964204201275,86.80964204201275,86.80964204201275,86.80964204201275,86.80964204201275,78.19772263488362,species,Sanguina_nivaloides
037,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,NA,NA,65.76371404391935,65.76371404391935,65.21699453000382,62.90674327822291,61.273834593197684,61.273834593197684,61.273834593197684,NA,family,Chlamydomonadaceae
038,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,NA,NA,72.22772363976281,72.22772363976281,72.22772363976281,72.22772363976281,70.9216081218949,70.29335251986043,70.29335251986043,NA,family,Chlamydomonadaceae
039,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,NA,75.76933707470077,75.76933707470077,75.76933707470077,75.1322514841643,73.69448722832959,71.57818654992624,57.174933259151025,57.174933259151025,genus,Chloromonas
040,NA,NA,NA,NA,NA,NA,NA,NA,42.52111467584032,NA,NA,NA,NA,NA,NA,NA,root,root
041,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,NA,NA,61.6268644625233,61.6268644625233,61.6268644625233,59.50586458199786,54.81718896965376,53.64716067669574,53.64716067669574,NA,family,Chlamydomonadaceae
