sample_id,asv_id,n_reads,rel_abund
water,268,44,1
water2.ce,001,226,0.004254838466752014
water2.ce,002,10,1.8826718879433693e-4
water2.ce,004,51124,0.9624971759921681
water2.ce,006,69,0.0012990436026809249
water2.ce,042,41,7.718954740567813e-4
water2.ce,052,1375,0.025886738459221327
water2.ce,056,28,5.271481286241434e-4
water2.ce,057,91,0.001713231418028466
water2.ce,386,48,9.036825062128173e-4
water2.ce,433,33,6.212817230213119e-4
water2.ce,451,29,5.45974847503577e-4
water2.ce,466,26,4.89494690865276e-4
water2.ce,519,16,3.0122750207093907e-4
water3.ky,001,74,0.0019138755980861245
water3.ky,004,37418,0.967748609853873
water3.ky,006,11,2.844950213371266e-4
water3.ky,008,6,1.551791025475236e-4
water3.ky,042,27,6.983059614638562e-4
water3.ky,052,1038,0.02684598474072158
water3.ky,380,50,0.00129315918789603
water3.ky,520,16,4.138109401267296e-4
water3.ky,529,14,3.620845726108884e-4
water3.ky,548,11,2.844950213371266e-4
