sample_id,asv_id,n_reads,rel_abund
bre18.01,001,1597,0.041994267532672436
bre18.01,002,2196,0.057745404822635356
bre18.01,003,2819,0.07412763943306425
bre18.01,009,571,0.015014857082752636
bre18.01,015,425,0.011175681716584712
bre18.01,025,3589,0.09437534513134713
bre18.01,027,55,0.001446264692734492
bre18.01,028,61,0.0016040390228509822
bre18.01,045,91,0.0023929106734334325
bre18.01,057,376,0.00988719135396671
bre18.01,067,194,0.005101370007099845
bre18.01,159,181,0.004759525625180783
bre18.01,562,7,1.8407005180257172e-4
bre18.01,563,7,1.8407005180257172e-4
bre18.02x,001,732,0.013905246761141294
bre18.02x,002,14294,0.2715322366171498
bre18.02x,003,2949,0.056019908058204476
bre18.02x,009,1139,0.021636715930245812
bre18.02x,012,48,9.118194597469701e-4
bre18.02x,015,670,0.012727479958968124
bre18.02x,020,161,0.0030583944379012954
bre18.02x,027,26,4.939022073629421e-4
bre18.02x,028,397,0.007541506781657232
bre18.02x,045,86,0.0016336765320466547
bre18.02x,121,34,6.458721173207705e-4
bre18.02x,385,5,9.498119372364272e-5
bre18.02x,570,6,1.1397743246837126e-4
bre18.10,001,790,0.026067445390351746
bre18.10,002,6168,0.20352405464264503
bre18.10,003,3159,0.10423678479509008
bre18.10,009,1251,0.04127895466244308
bre18.10,015,716,0.023625684682901077
bre18.10,027,24,7.919223916056226e-4
bre18.10,028,175,0.005774434105457665
bre18.10,045,94,0.0031016960337886886
bre18.10,047,460,0.015178512505774434
bre18.10,141,425,0.0140236256846829
bre18.10,159,244,0.00805121098132383
bre18.19,001,2047,0.05669888928897875
bre18.19,002,1200,0.03323823504971886
bre18.19,003,6529,0.1808436971996787
bre18.19,009,673,0.01864111015705066
bre18.19,012,35,9.694485222834667e-4
bre18.19,015,421,0.0116610807966097
bre18.19,025,4473,0.12389552114782705
bre18.19,027,58,0.001606514694069745
bre18.19,045,213,0.0058997867213250975
bre18.19,057,2342,0.06486995540536797
bre18.19,121,22,6.093676425781791e-4
bre18.19,136,322,0.008918926405007894
bre18.rd,001,1145,0.01687720177468567
bre18.rd,002,12624,0.18607667703373967
bre18.rd,003,8031,0.11837625105021889
bre18.rd,009,2015,0.02970092714060404
bre18.rd,015,970,0.014297716787288297
bre18.rd,025,187,0.0027563639579617646
bre18.rd,027,33,4.864171690520761e-4
bre18.rd,028,362,0.005335848945359138
bre18.rd,045,232,0.003419660097578232
bre18.rd,047,1032,0.015211591468537653
bre18.rd,121,58,8.54915024394558e-4
bre18.rd,160,419,0.006176024055539997
bre18.rd,530,13,1.916188847780906e-4
gar18.01,001,60914,0.792800062472343
gar18.01,009,272,0.003540099435145899
gar18.01,027,1751,0.022789390113751723
gar18.01,293,72,9.370851445974439e-4
gar18.01,417,38,4.945727152042065e-4
gar18.02,001,765,0.014370785039355287
gar18.02,002,31581,0.5932598200364435
gar18.02,009,110,0.002066387391279845
gar18.02,015,341,0.00640580091296752
gar18.02,028,935,0.017564292825878684
gar18.02,586,4,7.514135968290346e-5
hol18.21,001,2039,0.04380518615592842
hol18.21,003,26106,0.5608524716952757
hol18.21,027,77,0.0016542419489977871
hol18.21,045,756,0.016241648226523728
hol18.21,275,51,0.0010956667454400928
hol18.21,591,3,6.445098502588781e-5
hol18.42b,001,12583,0.23474432401171577
hol18.42b,003,7856,0.14655896125216872
hol18.42b,009,1222,0.02279723149823704
hol18.42b,027,348,0.006492173945488126
hol18.42b,045,215,0.004010969535287204
hol18.42b,068,146,0.002723728149543869
hol18.42b,073,132,0.002462548737943772
hol18.42b,121,43,8.021939070574409e-4
hol18.47,001,8189,0.22435001780773128
hol18.47,003,1367,0.03745102873893866
hol18.47,009,1600,0.04383441549546588
hol18.47,027,233,0.006383386756527218
hol18.47,045,52,0.001424618503602641
hol18.47,067,376,0.01030108764143448
hol18.47,068,272,0.007451850634229199
hol18.47,312,41,0.001123256897071313
hol18.47,581,5,1.3698254842333087e-4
hol18.47,587,4,1.0958603873866469e-4
nes18.01,001,780,0.026314901656489323
nes18.01,002,15237,0.5140514827434972
nes18.01,003,2700,0.09109004419553997
nes18.01,009,256,0.008636685671873418
nes18.01,015,1526,0.05148274349718296
nes18.01,027,18,6.072669613035997e-4
nes18.01,028,491,0.01656489322222597
nes18.01,045,84,0.0028339124860834656
nes18.01,053,70,0.002361593738402888
nes18.03,001,8493,0.19688890949554896
nes18.03,002,36,8.345697329376854e-4
nes18.03,003,844,0.019566023738872403
nes18.03,027,253,0.005865170623145401
nes18.03,045,25,5.795623145400593e-4
nes18.03,047,540,0.012518545994065282
nes18.03,068,171,0.003964206231454006
nes18.03,604,1,2.3182492581602375e-5
nes18.03,605,1,2.3182492581602375e-5
pan18.01,001,842,0.02085655544821778
pan18.01,002,27825,0.6892323697703797
pan18.01,003,232,0.005746699363404424
pan18.01,012,699,0.0173144088578435
pan18.01,015,557,0.013797032523345966
pan18.01,028,833,0.02063362314532709
pan18.01,053,370,0.009164994674394987
pan18.01,157,128,0.0031705927522231304
pan18.01,355,57,0.0014119045849743629
pan18.ro,001,4489,0.10316457150736562
pan18.ro,002,7722,0.17746420609932664
pan18.ro,003,331,0.007606922069266656
pan18.ro,009,1171,0.026911497713327053
pan18.ro,015,509,0.01169765357479374
pan18.ro,020,435,0.009997012387102705
pan18.ro,027,128,0.0029416496219520603
pan18.ro,028,230,0.005285776664445108
pan18.ro,045,17,3.90687840415508e-4
pan18.ro,068,261,0.005998207432261623
pan18.ro,121,39,8.962838691885184e-4
pan18.ro,513,17,3.90687840415508e-4
sax18.01,001,1044,0.034503271861986914
sax18.01,002,342,0.011302795954788817
sax18.01,009,5296,0.17502809174433206
sax18.01,012,8538,0.2821733095379734
sax18.01,015,53,0.0017516028818824773
sax18.01,053,1337,0.04418666137880891
sax18.01,072,29,9.584242183885254e-4
sax18.01,121,157,0.0051887104236896025
sax18.01,139,461,0.015235640161279661
sax18.01,140,240,0.00793178663493952
sax18.01,143,487,0.016094917046731442
sax18.01,445,30,9.9147332936744e-4
sey18.07,001,2378,0.080091610252265
sey18.07,003,3513,0.1183186824290189
sey18.07,027,63,0.002121855107608366
sey18.07,045,98,0.003300663500724125
sey18.07,073,65,0.002189215587214981
sey18.25,001,4971,0.15067289039767218
sey18.25,002,12,3.6372453928225026e-4
sey18.25,003,362,0.01097235693501455
sey18.25,009,145,0.0043950048496605235
sey18.25,027,160,0.004849660523763337
sey18.25,045,11,3.334141610087294e-4
sey18.25,068,241,0.007304801163918526
sey18.25,090,78,0.0023642095053346265
sey18.25,275,44,0.0013336566440349175
sey18.38,001,20277,0.399515309138196
sey18.38,003,1280,0.02521968711825669
sey18.38,009,3012,0.059345076250147774
sey18.38,027,571,0.01125034480040982
sey18.38,045,38,7.487094613232454e-4
sey18.38,068,281,0.0055365094376797885
sey18.38,121,81,0.0015959333254521812
sey18.63o,001,3239,0.10310361292376254
sey18.63o,003,11939,0.38004138150565014
sey18.63o,027,106,0.0033741843068597803
sey18.63o,045,359,0.011427661944930766
sey18.63o,057,136,0.004329142129555944
sey18.63o,068,71,0.0022600668470475886
sey18.63o,073,514,0.016361610695527613
sey18.63o,090,50,0.0015915963711602738
sey18.63o,141,167,0.005315931879675315
sey18.63o,490,22,7.003024033105205e-4
sey18.63o,495,21,6.68470475887315e-4
sey18.63p,001,28612,0.4227916186423146
sey18.63p,003,1960,0.028962378461447526
sey18.63p,027,784,0.01158495138457901
sey18.63p,045,55,8.127198037651092e-4
sey18.63p,067,381,0.005629931731536484
sey18.63p,068,413,0.006102786890090729
sey18.63p,073,482,0.007122380825723321
sey18.66,001,9796,0.22499885157793192
sey18.66,003,3771,0.08661399237447746
sey18.66,009,171,0.003927603472828334
sey18.66,027,276,0.0063392898157931
sey18.66,045,94,0.0021590334879875053
sey18.66,047,642,0.01474573935412743
sey18.66,067,304,0.006982406173917038
sey18.66,090,142,0.003261518673342827
sey18.74,001,29622,0.6013276222569578
sey18.74,003,1470,0.02984105072978624
sey18.74,027,863,0.01751892978218063
sey18.74,045,40,8.120013804023467e-4
sey18.74,067,226,0.004587807799273259
sey18.74,073,219,0.0044457075577028484
sky18.12,001,3913,0.16396396396396395
sky18.12,003,12494,0.5235281793421328
