sample_id,protocol,asv_id,n_reads,rel_abund
bre18.17,3,009,104,0.001048767697954903
bre18.17,3,010,81885,0.8257532975676657
bre18.17,3,011,13,1.3109596224436288e-4
bre18.17,3,014,24,2.4202331491266993e-4
bre18.17,3,022,67,6.756484207978702e-4
bre18.17,3,032,1663,0.01677019886249042
bre18.17,3,037,2005,0.020219031099995965
bre18.17,3,041,4602,0.046407970634504456
bre18.17,3,059,2688,0.02710661127021903
bre18.17,3,063,1567,0.01580210560283974
bre18.17,3,064,26,2.6219192448872575e-4
bre18.17,3,081,11,1.1092735266830705e-4
bre18.17,3,085,815,0.00821870840224275
bre18.17,3,099,1593,0.016064297527328467
bre18.17,3,122,331,0.003337904884837239
bre18.17,3,130,70,7.05901335161954e-4
bre18.17,3,135,729,0.007351458190472349
bre18.17,3,136,670,0.006756484207978702
bre18.17,3,160,210,0.002117704005485862
bre18.17,3,321,9,9.075874309225123e-5
bre18.17,3,439,6,6.050582872816748e-5
bre18.17,3,489,41,4.134564963091444e-4
bre18.17,3,494,6,6.050582872816748e-5
bre18.17,3,524,29,2.924448388528095e-4
bre18.22.bb,3,003,50,0.33783783783783783
bre18.22.bb,3,009,11,0.07432432432432433
bre18.22.bb,3,010,20,0.13513513513513514
bre18.22.bb,3,019,43,0.2905405405405405
bre18.22.bb,3,026,17,0.11486486486486487
bre18.22.bb,3,041,4,0.02702702702702703
bre18.22.bb,3,054,3,0.02027027027027027
