sample_id,morpho_sp,count,count_total,percent_of_sample
aas18.01,Sanguina nivaloides,92,98,0.9387755102040817
aas18.01,Chloromonas krienitzii,6,98,0.061224489795918366
bre18.01,Green cell,1,100,0.01
bre18.01,Sanguina nivaloides,81,100,0.81
bre18.01,Sanguina nivaloides,5,100,0.05
bre18.01,Chlainomonas,1,100,0.01
bre18.01,Chloromonas cf. brevispina,1,100,0.01
bre18.01,Chloromonas cf. nivalis,9,100,0.09
bre18.01,Other,1,100,0.01
bre18.01,Other,1,100,0.01
bre18.02,Green cell,8,99,0.08080808080808081
bre18.02,Green cell,3,99,0.030303030303030304
bre18.02,Sanguina nivaloides,78,99,0.7878787878787878
bre18.02,Sanguina nivaloides,7,99,0.0707070707070707
bre18.02,Chloromonas cf. nivalis,1,99,0.010101010101010102
bre18.02,Other,2,99,0.020202020202020204
bre18.02x,Green cell,1,103,0.009708737864077669
bre18.02x,Green cell,2,103,0.019417475728155338
bre18.02x,Sanguina nivaloides,86,103,0.8349514563106796
bre18.02x,Sanguina nivaloides,2,103,0.019417475728155338
bre18.02x,Chloromonas krienitzii,10,103,0.0970873786407767
bre18.02x,Chloromonas cf. nivalis,1,103,0.009708737864077669
bre18.02x,Other,1,103,0.009708737864077669
bre18.14,Green cell,20,187,0.10695187165775401
bre18.14,Sanguina nivaloides,85,187,0.45454545454545453
bre18.14,Sanguina nivaloides,70,187,0.37433155080213903
bre18.14,Chloromonas krienitzii,2,187,0.0106951871657754
bre18.14,Other,10,187,0.053475935828877004
bre18.15,Green cell,1,100,0.01
bre18.15,Green cell,2,100,0.02
bre18.15,Sanguina nivaloides,83,100,0.83
bre18.15,Sanguina nivaloides,1,100,0.01
bre18.15,Other,11,100,0.11
bre18.15,Other,2,100,0.02
bre18.16,Green cell,4,99,0.04040404040404041
bre18.16,Green cell,4,99,0.04040404040404041
bre18.16,Green cell,12,99,0.12121212121212122
bre18.16,Sanguina nivaloides,29,99,0.29292929292929293
bre18.16,Sanguina nivaloides,6,99,0.06060606060606061
bre18.16,Other,43,99,0.43434343434343436
bre18.16,Other,1,99,0.010101010101010102
bre18.19,Green cell,5,100,0.05
bre18.19,Green cell,6,100,0.06
bre18.19,Sanguina nivaloides,45,100,0.45
bre18.19,Sanguina nivaloides,3,100,0.03
bre18.19,Chlainomonas,1,100,0.01
bre18.19,Chloromonas krienitzii,2,100,0.02
bre18.19,Chloromonas cf. brevispina,2,100,0.02
bre18.19,Chloromonas cf. nivalis,18,100,0.18
bre18.19,Other,17,100,0.17
bre18.19,Other,1,100,0.01
gar18.01,Chlainomonas,98,99,0.98989898989899
gar18.01,Chloromonas krienitzii,1,99,0.010101010101010102
gar18.02,Sanguina nivaloides,97,97,1
gar18.03,Green cell,9,107,0.08411214953271028
gar18.03,Green cell,5,107,0.04672897196261682
gar18.03,Sanguina nivaloides,48,107,0.4485981308411215
gar18.03,Chloromonas krienitzii,21,107,0.19626168224299065
gar18.03,Other,2,107,0.018691588785046728
gar18.03,Other,22,107,0.205607476635514
gar18.04,Green cell,80,100,0.8
gar18.04,Sanguina nivaloides,1,100,0.01
gar18.04,Chloromonas krienitzii,2,100,0.02
gar18.04,Chloromonas cf. nivalis,7,100,0.07
gar18.04,Other,10,100,0.1
hol18.20,Green cell,32,99,0.32323232323232326
hol18.20,Green cell,66,99,0.6666666666666666
hol18.20,Other,1,99,0.010101010101010102
hol18.21,Green cell,19,100,0.19
hol18.21,Green cell,71,100,0.71
hol18.21,Sanguina nivaloides,6,100,0.06
hol18.21,Chloromonas krienitzii,4,100,0.04
hol18.22a,Green cell,32,100,0.32
hol18.22a,Green cell,54,100,0.54
hol18.22a,Sanguina nivaloides,12,100,0.12
hol18.22a,Chloromonas krienitzii,2,100,0.02
hol18.22b,Green cell,51,98,0.5204081632653061
hol18.22b,Green cell,36,98,0.3673469387755102
hol18.22b,Sanguina nivaloides,8,98,0.08163265306122448
hol18.22b,Chloromonas krienitzii,3,98,0.030612244897959183
hol18.22c,Green cell,31,99,0.31313131313131315
hol18.22c,Green cell,68,99,0.6868686868686869
hol18.24,Green cell,37,60,0.6166666666666667
hol18.24,Green cell,22,60,0.36666666666666664
hol18.24,Chloromonas krienitzii,1,60,0.016666666666666666
hol18.25a,Green cell,45,86,0.5232558139534884
hol18.25a,Green cell,24,86,0.27906976744186046
hol18.25a,Sanguina nivaloides,15,86,0.1744186046511628
hol18.25a,Other,2,86,0.023255813953488372
hol18.25b,Green cell,68,97,0.7010309278350515
