asv_id,sample_id,n_reads,rel_abund
003,bre18.01.p2,11420,0.15542701599183395
004,bre18.01.p2,497,0.006764205512078939
008,bre18.01.p2,168,0.0022864920040830215
009,bre18.01.p2,24983,0.3400204151071793
010,bre18.01.p2,294,0.004001361007145287
014,bre18.01.p2,3376,0.04594760122490643
016,bre18.01.p2,96,0.0013065668594760122
019,bre18.01.p2,13798,0.18779176590677102
021,bre18.01.p2,396,0.00538958829533855
022,bre18.01.p2,6416,0.08732221844164682
025,bre18.01.p2,5860,0.07975501871384824
026,bre18.01.p2,1320,0.01796529431779517
032,bre18.01.p2,141,0.001919020074855393
037,bre18.01.p2,43,5.852330724736305e-4
041,bre18.01.p2,93,0.001265736645117387
054,bre18.01.p2,37,5.035726437563797e-4
059,bre18.01.p2,682,0.009282068730860836
064,bre18.01.p2,989,0.013460360666893502
067,bre18.01.p2,208,0.0028308948621980265
073,bre18.01.p2,1968,0.02678462061925825
099,bre18.01.p2,30,4.083021435862538e-4
135,bre18.01.p2,72,9.799251446070093e-4
151,bre18.01.p2,115,0.0015651582170806396
164,bre18.01.p2,8,1.0888057162300102e-4
184,bre18.01.p2,44,5.988431439265056e-4
218,bre18.01.p2,62,8.438244300782579e-4
227,bre18.01.p2,50,6.805035726437564e-4
229,bre18.01.p2,25,3.402517863218782e-4
232,bre18.01.p2,143,0.0019462402177611432
430,bre18.01.p2,65,8.846546444368833e-4
493,bre18.01.p2,40,5.444028581150051e-4
523,bre18.01.p2,29,3.946920721333787e-4
623,bre18.01.p2,7,9.52705001701259e-5
004,bre18.02x,2665,0.029005224205485416
008,bre18.02x,159,0.0017305180670439703
010,bre18.02x,7581,0.08250979538528515
012,bre18.02x,23,2.503265128428385e-4
014,bre18.02x,15932,0.1734000870700914
019,bre18.02x,457,0.004973878972572921
021,bre18.02x,631,0.006867653461036134
022,bre18.02x,19456,0.21175446234218545
025,bre18.02x,2440,0.026556377884196777
026,bre18.02x,3959,0.04308881149325207
029,bre18.02x,669,0.007281236395298215
032,bre18.02x,7799,0.08488245537657814
037,bre18.02x,9414,0.10245973008271658
041,bre18.02x,3398,0.0369830213321724
050,bre18.02x,746,0.008119286025250326
059,bre18.02x,2467,0.026850239442751413
063,bre18.02x,1045,0.011373530692207227
064,bre18.02x,680,0.007400957771005659
073,bre18.02x,671,0.007303003918154114
083,bre18.02x,628,0.006835002176752285
085,bre18.02x,2337,0.02543535045711798
086,bre18.02x,1484,0.016151501959077056
099,bre18.02x,1494,0.016260339573356552
105,bre18.02x,78,8.489333913800609e-4
112,bre18.02x,236,0.002568567696996082
122,bre18.02x,1223,0.013310840226382238
127,bre18.02x,145,0.0015781454070526774
130,bre18.02x,462,0.005028297779712669
135,bre18.02x,567,0.006171092729647366
146,bre18.02x,165,0.0017958206356116673
157,bre18.02x,230,0.002503265128428385
160,bre18.02x,22,2.39442751414889e-4
162,bre18.02x,98,0.001066608619939051
164,bre18.02x,49,5.333043099695255e-4
184,bre18.02x,184,0.002002612102742708
199,bre18.02x,43,4.6800174140182845e-4
205,bre18.02x,49,5.333043099695255e-4
229,bre18.02x,376,0.004092294296909012
232,bre18.02x,152,0.0016543317370483238
243,bre18.02x,168,0.0018284719198955158
255,bre18.02x,107,0.0011645624727905964
261,bre18.02x,52,5.65955594253374e-4
272,bre18.02x,161,0.0017522855898998693
304,bre18.02x,196,0.002133217239878102
326,bre18.02x,91,9.904222899434045e-4
332,bre18.02x,144,0.0015672616456247279
354,bre18.02x,11,1.197213757074445e-4
390,bre18.02x,85,9.251197213757074e-4
391,bre18.02x,42,4.5711797997387895e-4
423,bre18.02x,67,7.292120156726164e-4
433,bre18.02x,64,6.96560731388768e-4
435,bre18.02x,27,2.938615585546365e-4
438,bre18.02x,26,2.82977797126687e-4
452,bre18.02x,56,6.09490639965172e-4
457,bre18.02x,55,5.986068785372225e-4
458,bre18.02x,54,5.87723117109273e-4
459,bre18.02x,35,3.8093164997823247e-4
460,bre18.02x,28,3.04745319982586e-4
474,bre18.02x,47,5.115367871136265e-4
