sample_id,asv_id,n_reads,rel_abund
sky18.24,001,2485,0.056505525490017736
sky18.24,002,20394,0.4637318659329665
sky18.24,004,1356,0.030833598617490562
sky18.24,005,111,0.002523989267360953
sky18.24,006,754,0.017144936104415844
sky18.24,007,1474,0.0335167583791896
sky18.24,009,697,0.015848833507662922
sky18.24,010,1637,0.037223157033061983
sky18.24,011,30,6.821592614489063e-4
sky18.24,012,352,0.0080040020010005
sky18.24,013,1324,0.030105962071945064
sky18.24,014,84,0.0019100459320569375
sky18.24,015,987,0.022443039701669016
sky18.24,017,433,0.009845832006912547
sky18.24,022,227,0.005161671744963391
sky18.24,023,1453,0.03303924689617536
sky18.24,025,403,0.009163672745463642
sky18.24,026,63,0.0014325344490427033
sky18.24,027,63,0.0014325344490427033
sky18.24,028,604,0.013734139797171313
sky18.24,034,58,0.0013188412388012189
sky18.24,039,262,0.005957524216653781
sky18.24,042,39,8.868070398835782e-4
sky18.24,044,627,0.014257128564282141
sky18.24,048,834,0.018964027468279594
sky18.24,052,43,9.777616080767658e-4
sky18.24,061,132,0.0030015007503751876
sky18.24,062,75,0.0017053981536222656
sky18.24,066,184,0.004183910136886625
sky18.24,067,139,0.0031606712447132656
sky18.24,070,103,0.0023420801309745783
sky18.24,072,382,0.008686161262449407
sky18.24,078,271,0.006162171995088454
sky18.24,079,687,0.015621447087179954
sky18.24,085,123,0.0027968529719405158
sky18.24,094,62,0.0014097958069944063
sky18.24,099,279,0.006344081131474828
sky18.24,103,802,0.018236390922734096
sky18.24,110,30,6.821592614489063e-4
sky18.24,119,405,0.009209150029560235
sky18.24,122,122,0.002774114329892219
sky18.24,125,307,0.006980763108827141
sky18.24,126,49,0.0011141934603665468
sky18.24,128,55,0.0012506253126563281
sky18.24,131,319,0.007253626813406703
sky18.24,148,31,7.048979034972032e-4
sky18.24,149,50,0.0011369321024148438
sky18.24,168,53,0.0012051480285597345
sky18.24,176,15,3.410796307244531e-4
sky18.24,180,206,0.0046841602619491565
sky18.24,182,34,7.731138296420938e-4
sky18.24,187,70,0.0015917049433807813
sky18.24,191,247,0.0056164445859293284
sky18.24,192,168,0.003820091864113875
sky18.24,193,169,0.003842830506162172
sky18.24,196,151,0.003433534949292828
sky18.24,199,127,0.002887807540133703
sky18.24,216,234,0.0053208422393014685
sky18.24,232,185,0.004206648778934922
sky18.24,247,158,0.003592705443630906
sky18.24,253,38,8.640683978352813e-4
sky18.24,301,92,0.0020919550684433126
sky18.24,302,91,0.0020692164263950157
sky18.24,315,55,0.0012506253126563281
sky18.24,317,83,0.0018873072900086408
sky18.24,324,11,2.501250625312656e-4
sky18.24,326,18,4.0929555686934377e-4
sky18.24,336,70,0.0015917049433807813
sky18.24,352,48,0.0010914548183182501
sky18.24,399,44,0.0010005002501250625
sky18.24,408,42,9.550229660284687e-4
sky18.24,438,32,7.276365455455e-4
sky18.24,442,31,7.048979034972032e-4
sky18.24,455,21,4.7751148301423437e-4
sky18.24,484,23,5.229887671108281e-4
sky18.24,485,23,5.229887671108281e-4
sky18.24,498,21,4.7751148301423437e-4
sky18.24,514,17,3.865569148210469e-4
sky18.24sc,001,540,0.01388960337465919
sky18.24sc,002,30596,0.7869746386130974
sky18.24sc,004,1332,0.03426102165749267
sky18.24sc,005,88,0.002263490920314831
sky18.24sc,006,103,0.0026493132362775864
sky18.24sc,007,562,0.014455476104737897
sky18.24sc,009,71,0.001826225628890375
sky18.24sc,010,226,0.00581305622717218
sky18.24sc,011,38,9.774165337723133e-4
sky18.24sc,012,204,0.005247183497093472
sky18.24sc,014,185,0.004758475230207315
sky18.24sc,015,709,0.0182365348011729
sky18.24sc,016,298,0.007665003343793405
sky18.24sc,017,101,0.0025978702608158858
sky18.24sc,023,56,0.0014404033129276198
sky18.24sc,025,179,0.004604146303822213
sky18.24sc,027,18,4.6298677915530633e-4
sky18.24sc,028,911,0.02343227532280467
sky18.24sc,039,66,0.0016976181902361232
sky18.24sc,042,510,0.013117958742733679
sky18.24sc,048,290,0.007459231441946602
sky18.24sc,052,47,0.0012089099233499666
sky18.24sc,066,35,9.002520705797623e-4
sky18.24sc,079,196,0.005041411595246669
sky18.24sc,087,38,9.774165337723133e-4
sky18.24sc,103,64,0.0016461752147744226
sky18.24sc,114,108,0.002777920674931838
sky18.24sc,119,71,0.001826225628890375
sky18.24sc,122,83,0.0021348834816605792
sky18.24sc,131,229,0.0058902206903647305
sky18.24sc,133,55,0.0014146818251967693
sky18.24sc,148,19,4.887082668861566e-4
sky18.24sc,157,119,0.003060857039971192
sky18.24sc,176,43,0.001106023972426565
sky18.24sc,180,142,0.00365245125778075
sky18.24sc,191,45,0.001157466947888266
sky18.24sc,192,116,0.002983692576778641
sky18.24sc,204,90,0.002314933895776532
sky18.24sc,233,183,0.004707032254745614
sky18.24sc,324,9,2.3149338957765316e-4
sky18.24sc,326,22,5.658727300787077e-4
sky18.24sc,352,12,3.086578527702042e-4
sky18.24sc,391,47,0.0012089099233499666
sky18.24sc,518,16,4.1154380369360564e-4
sky18.24sc,577,6,1.543289263851021e-4
