sample_id,protocol,asv_id,n_reads
gar18.01,3,001,60914
gar18.01,3,009,272
gar18.01,3,027,1751
gar18.01,3,293,72
gar18.01,3,417,38
gar18.01,2,001,21172
gar18.01,2,009,258
gar18.01,2,027,591
gar18.01,2,068,50
gar18.01,2,076,354
gar18.01,2,293,25
sax18.01,3,001,1044
sax18.01,3,002,342
sax18.01,3,009,5296
sax18.01,3,012,8538
sax18.01,3,015,53
sax18.01,3,053,1337
sax18.01,3,072,29
sax18.01,3,121,157
sax18.01,3,139,461
sax18.01,3,140,240
sax18.01,3,143,487
sax18.01,3,445,30
sax18.01,1,001,371
sax18.01,1,002,39
sax18.01,1,009,1723
sax18.01,1,012,11322
sax18.01,1,053,1501
sax18.01,1,121,64
sax18.01,1,139,152
sax18.01,1,140,359
sax18.01,1,143,88
sax18.01,1,235,181
sax18.01,1,257,136
sax18.01,1,599,2
sey18.25,1,001,1824
sey18.25,1,003,186
sey18.25,1,009,131
sey18.25,1,027,45
sey18.25,1,045,9
sey18.25,1,067,124
sey18.25,1,090,133
sey18.25,1,275,24
sey18.25,1,547,11
sey18.25,2,001,4971
sey18.25,2,002,12
sey18.25,2,003,362
sey18.25,2,009,145
sey18.25,2,027,160
sey18.25,2,045,11
sey18.25,2,068,241
sey18.25,2,090,78
sey18.25,2,275,44
sey18.74,3,001,29622
sey18.74,3,003,1470
sey18.74,3,027,863
sey18.74,3,045,40
sey18.74,3,067,226
sey18.74,3,073,219
sey18.74,1,001,18461
sey18.74,1,003,428
sey18.74,1,027,500
sey18.74,1,045,12
sey18.74,1,067,114
sey18.74,1,073,70
sky18.12,3,001,3913
sky18.12,3,003,12494
sky18.12,3,027,136
sky18.12,3,045,352
sky18.12,3,073,305
sky18.12,1,001,8129
sky18.12,1,002,32
sky18.12,1,003,21974
sky18.12,1,027,243
sky18.12,1,045,581
sky18.12,1,047,821
sky18.12,1,073,230
sky18.12,1,136,144
sky18.12,1,312,43
