sample_id,asv_id,n_reads,rel_abund
sky18.24,001,2485,0.056505525490017736
sky18.24,002,20394,0.4637318659329665
sky18.24,009,697,0.015848833507662922
sky18.24,012,352,0.0080040020010005
sky18.24,015,987,0.022443039701669016
sky18.24,025,403,0.009163672745463642
sky18.24,027,63,0.0014325344490427033
sky18.24,028,604,0.013734139797171313
sky18.24,048,834,0.018964027468279594
sky18.24,067,139,0.0031606712447132656
sky18.24,072,382,0.008686161262449407
sky18.24,119,405,0.009209150029560235
sky18.24,442,31,7.048979034972032e-4
sky18.24sc,001,540,0.01388960337465919
sky18.24sc,002,30596,0.7869746386130974
sky18.24sc,009,71,0.001826225628890375
sky18.24sc,012,204,0.005247183497093472
sky18.24sc,015,709,0.0182365348011729
sky18.24sc,025,179,0.004604146303822213
sky18.24sc,027,18,4.6298677915530633e-4
sky18.24sc,028,911,0.02343227532280467
sky18.24sc,048,290,0.007459231441946602
sky18.24sc,119,71,0.001826225628890375
sky18.24sc,157,119,0.003060857039971192
sky18.24sc,577,6,1.543289263851021e-4
