sample_id,protocol,asv_id,n_reads,rel_abund
hol18.21,3,001,42431,0.4605857322738917
hol18.21,3,003,6822,0.07405236420476749
hol18.21,3,004,1714,0.018605357995744864
hol18.21,3,006,12575,0.13650080326516434
hol18.21,3,007,199,0.002160131996005384
hol18.21,3,008,16898,0.18342668577135166
hol18.21,3,011,294,0.003191350788068256
hol18.21,3,016,170,0.0018453388910598758
hol18.21,3,017,479,0.005199513698927532
hol18.21,3,021,2712,0.029438582779731666
hol18.21,3,045,2163,0.023479223655073597
hol18.21,3,050,11,1.1940428118622725e-4
hol18.21,3,057,175,0.0018996135643263427
hol18.21,3,061,82,8.901046415700578e-4
hol18.21,3,067,614,0.00666492987712214
hol18.21,3,075,569,0.006176457817723937
hol18.21,3,079,225,0.0024423602969910123
hol18.21,3,080,1551,0.016836003647258044
hol18.21,3,096,233,0.0025291997742173593
hol18.21,3,106,19,2.0624375841257436e-4
hol18.21,3,107,1130,0.012266076158221527
hol18.21,3,125,289,0.003137076114801789
hol18.21,3,129,8,8.68394772263471e-5
hol18.21,3,144,102,0.0011072033346359255
hol18.21,3,155,50,5.427467326646694e-4
hol18.21,3,168,19,2.0624375841257436e-4
hol18.21,3,185,330,0.003582128435586818
hol18.21,3,258,34,3.6906777821197516e-4
hol18.21,3,269,25,2.713733663323347e-4
hol18.21,3,366,10,1.0854934653293387e-4
hol18.21,3,416,70,7.598454257305371e-4
hol18.21,3,427,66,7.164256871173636e-4
hol18.21,3,486,14,1.5196908514610743e-4
hol18.21,3,555,21,2.2795362771916113e-4
hol18.21,3,588,13,1.4111415049281403e-4
hol18.21,3,624,7,7.598454257305372e-5
hol18.39d,3,001,14874,0.1734921208869397
hol18.39d,3,003,1103,0.012865524360514621
hol18.39d,3,004,290,0.003382594800135304
hol18.39d,3,005,10,1.1664120000466564e-4
hol18.39d,3,006,1004,0.011710776480468432
hol18.39d,3,007,83,9.681219600387249e-4
hol18.39d,3,008,38185,0.4453944222178158
hol18.39d,3,010,6,6.998472000279939e-5
hol18.39d,3,013,13,1.5163356000606534e-4
hol18.39d,3,016,84,9.797860800391915e-4
hol18.39d,3,017,313,0.0036508695601460348
hol18.39d,3,021,11410,0.1330876092053235
hol18.39d,3,029,17,1.982900400079316e-4
hol18.39d,3,045,5755,0.06712701060268508
hol18.39d,3,061,361,0.00421074732016843
hol18.39d,3,067,53,6.181983600247279e-4
hol18.39d,3,069,59,6.881830800275273e-4
hol18.39d,3,075,2877,0.03355767324134231
hol18.39d,3,079,638,0.0074417085602976685
hol18.39d,3,080,3714,0.04332054168173282
hol18.39d,3,096,122,0.001423022640056921
hol18.39d,3,101,37,4.315724400172629e-4
hol18.39d,3,104,39,4.5490068001819605e-4
hol18.39d,3,107,2076,0.024214713120968588
hol18.39d,3,116,55,6.415266000256611e-4
hol18.39d,3,125,272,0.0031726406401269055
hol18.39d,3,129,245,0.0028577094001143084
hol18.39d,3,144,448,0.005225525760209021
hol18.39d,3,155,1119,0.013052150280522087
hol18.39d,3,168,135,0.0015746562000629862
hol18.39d,3,185,22,2.566106400102644e-4
hol18.39d,3,198,48,5.598777600223951e-4
hol18.39d,3,258,182,0.0021228698400849147
hol18.39d,3,322,43,5.015571600200623e-4
hol18.39d,3,490,41,4.7822892001912916e-4
hol18.42,3,001,17,2.2724538491357993e-4
hol18.42,3,003,6273,0.08385354703311099
hol18.42,3,004,119,0.0015907176943950594
hol18.42,3,008,133,0.0017778609525591841
hol18.42,3,011,2007,0.026828322795385582
hol18.42,3,016,14264,0.1906722453180767
hol18.42,3,017,20806,0.2781216163830555
hol18.42,3,021,61,8.154099105722574e-4
hol18.42,3,024,29790,0.39821411862209094
hol18.42,3,045,512,0.006844096298573701
hol18.42,3,074,16,2.1387800933042817e-4
hol18.42,3,075,161,0.0021521474688874333
hol18.42,3,098,5,6.68368779157588e-5
hol18.42,3,101,27,3.609191407450975e-4
hol18.42,3,111,295,0.003943375797029769
hol18.42,3,129,15,2.005106337472764e-4
hol18.42,3,168,218,0.0029140878771270837
hol18.42,3,193,16,2.1387800933042817e-4
hol18.42,3,248,21,2.8071488724618694e-4
hol18.42,3,298,33,4.4112339424400807e-4
hol18.42,3,507,12,1.6040850699782113e-4
hol18.42,3,513,8,1.0693900466521408e-4
hol18.42b,3,002,7,1.2453521678023092e-4
hol18.42b,3,003,8144,0.14488782935117153
hol18.42b,3,004,625,0.01111921578394919
hol18.42b,3,006,262,0.0046611752566315
hol18.42b,3,008,2660,0.04732338237648775
hol18.42b,3,010,8,1.4232596203454963e-4
hol18.42b,3,011,7946,0.1413652617908164
hol18.42b,3,016,19124,0.3402302122435909
hol18.42b,3,017,5613,0.09985945311249088
hol18.42b,3,021,69,0.0012275614225479906
hol18.42b,3,024,9129,0.16241171342667543
hol18.42b,3,045,591,0.010514330445302355
hol18.42b,3,056,85,0.0015122133466170897
hol18.42b,3,074,74,0.0013165151488195841
hol18.42b,3,075,167,0.0029710544574712235
hol18.42b,3,089,4,7.116298101727481e-5
hol18.42b,3,098,5,8.895372627159351e-5
hol18.42b,3,111,229,0.004074080663238983
hol18.42b,3,125,38,6.760483196641108e-4
hol18.42b,3,168,158,0.002810937750182355
hol18.42b,3,175,28,4.981408671209237e-4
hol18.42b,3,185,138,0.002455122845095981
hol18.42b,3,193,63,0.0011208169510220783
hol18.42b,3,221,144,0.0025618673166218934
hol18.42b,3,248,358,0.006369086801046096
hol18.42b,3,258,77,0.0013698873845825403
hol18.42b,3,298,27,4.80350121866605e-4
hol18.42b,3,322,43,7.650020459357042e-4
hol18.42b,3,342,123,0.0021882616662812007
hol18.42b,3,404,74,0.0013165151488195841
hol18.42b,3,417,69,0.0012275614225479906
hol18.42b,3,441,60,0.0010674447152591222
hol18.42b,3,467,51,9.073280079702539e-4
hol18.42b,3,553,16,2.8465192406909926e-4
sey18.66,3,001,39075,0.43809982958112836
sey18.66,3,003,22782,0.25542649564983405
sey18.66,3,004,3580,0.040138128980177594
sey18.66,3,006,7028,0.07879630460130954
sey18.66,3,008,20,2.2423535743115974e-4
sey18.66,3,017,2710,0.030383890931922144
sey18.66,3,021,4460,0.050004484707148626
sey18.66,3,045,929,0.01041573235267737
sey18.66,3,057,1094,0.012265674051484437
sey18.66,3,061,3706,0.0415508117319939
sey18.66,3,075,65,7.287649116512691e-4
sey18.66,3,079,719,0.008061261099650193
sey18.66,3,087,770,0.00863306126109965
sey18.66,3,096,409,0.004585613059467216
sey18.66,3,108,1501,0.01682886357520854
sey18.66,3,151,60,6.727060722934793e-4
sey18.66,3,188,243,0.002724459592788591
sey18.66,3,322,12,1.3454121445869585e-4
