sample_id,protocol,asv_id,n_reads,rel_abund
gar18.01,3,003,14,1.5729806860442907e-4
gar18.01,3,004,15,1.6853364493331686e-4
gar18.01,3,005,88554,0.9949552262283294
gar18.01,3,014,14,1.5729806860442907e-4
gar18.01,3,022,11,1.235913396177657e-4
gar18.01,3,025,122,0.0013707403121243104
gar18.01,3,026,20,2.2471152657775582e-4
gar18.01,3,040,25,2.8088940822219475e-4
gar18.01,3,044,184,0.0020673460445153535
gar18.01,3,121,17,1.9100479759109244e-4
gar18.01,3,292,8,8.988461063110232e-5
gar18.01,3,512,19,2.13475950248868e-4
gar18.01,2,004,54,8.665511265164644e-4
gar18.01,2,005,61630,0.9889915912446242
gar18.01,2,025,178,0.002856409268887605
gar18.01,2,040,27,4.332755632582322e-4
gar18.01,2,044,401,0.0064349444765389304
gar18.01,2,073,13,2.08614160087297e-4
gar18.01,2,512,13,2.08614160087297e-4
sax18.01,3,004,325,0.004694360989137971
sax18.01,3,012,22619,0.3267130806563439
sax18.01,3,013,23,3.3221631615437946e-4
sax18.01,3,018,35284,0.5096487173561359
sax18.01,3,021,160,0.0023110700254217703
sax18.01,3,024,13,1.8777443956551884e-4
sax18.01,3,026,880,0.012710885139819737
sax18.01,3,028,51,7.366535706031892e-4
sax18.01,3,031,13,1.8777443956551884e-4
sax18.01,3,034,8,1.1555350127108852e-4
sax18.01,3,037,44,6.355442569909868e-4
sax18.01,3,038,1099,0.015874162237115786
sax18.01,3,040,632,0.009128726600415993
sax18.01,3,044,12,1.7333025190663278e-4
sax18.01,3,054,155,0.00223884908712734
sax18.01,3,055,80,0.0011555350127108851
sax18.01,3,058,382,0.005517679685694476
sax18.01,3,059,321,0.004636584238502427
sax18.01,3,066,962,0.013895308527848394
sax18.01,3,077,594,0.008579847469378322
sax18.01,3,085,66,9.533163854864803e-4
sax18.01,3,122,37,5.344349433787844e-4
sax18.01,3,127,794,0.011468685001155535
sax18.01,3,134,1631,0.023558470071643172
sax18.01,3,159,137,0.001978853709267391
sax18.01,3,168,36,5.199907557198983e-4
sax18.01,3,176,162,0.0023399584007395423
sax18.01,3,183,28,4.044372544488098e-4
sax18.01,3,184,11,1.588860642477467e-4
sax18.01,3,188,31,4.47769817425468e-4
sax18.01,3,192,304,0.004391033048301364
sax18.01,3,193,31,4.47769817425468e-4
sax18.01,3,200,162,0.0023399584007395423
sax18.01,3,208,203,0.002932170094753871
sax18.01,3,212,62,8.95539634850936e-4
sax18.01,3,235,13,1.8777443956551884e-4
sax18.01,3,246,98,0.0014155303905708343
sax18.01,3,247,76,0.001097758262075341
sax18.01,3,251,244,0.0035243817887681997
sax18.01,3,260,202,0.002917725907094985
sax18.01,3,265,44,6.355442569909868e-4
sax18.01,3,285,163,0.0023544025883984283
sax18.01,3,290,126,0.001819967645019644
sax18.01,3,312,70,0.0010110931361220245
sax18.01,3,313,92,0.0013288652646175178
sax18.01,3,314,95,0.001372197827594176
sax18.01,3,315,31,4.47769817425468e-4
sax18.01,3,334,56,8.088745088976196e-4
sax18.01,3,335,74,0.0010688698867575687
sax18.01,3,341,8,1.1555350127108852e-4
sax18.01,3,370,66,9.533163854864803e-4
sax18.01,3,380,80,0.0011555350127108851
sax18.01,3,399,12,1.7333025190663278e-4
sax18.01,3,400,77,0.001112202449734227
sax18.01,3,412,71,0.0010255373237809105
sax18.01,3,429,66,9.533163854864803e-4
sax18.01,3,445,35,5.055465680610122e-4
sax18.01,3,513,6,8.666512595331639e-5
sax18.01,3,534,19,2.7443956551883523e-4
sax18.01,3,539,8,1.1555350127108852e-4
sax18.01,3,585,14,2.022186272244049e-4
sax18.01,3,593,13,1.8777443956551884e-4
sax18.01,3,618,8,1.1555350127108852e-4
sax18.01,3,627,7,1.0110931361220245e-4
sax18.01,3,640,4,5.777675063554426e-5
sax18.01,3,650,2,2.888837531777213e-5
sax18.01,1,001,15,2.3864070255822834e-4
sax18.01,1,004,186,0.0029591447117220315
sax18.01,1,006,291,0.004629629629629629
sax18.01,1,007,36,5.72737686139748e-4
sax18.01,1,009,49,7.795596283568792e-4
sax18.01,1,012,17595,0.27992554410080184
sax18.01,1,018,26642,0.4238577065037546
sax18.01,1,021,463,0.0073660430189639815
sax18.01,1,026,893,0.01420707649229986
sax18.01,1,031,11,1.750031818760341e-4
sax18.01,1,035,7,1.1136566119383989e-4
sax18.01,1,037,159,0.0025295914471172203
sax18.01,1,038,1564,0.02488227058673794
sax18.01,1,040,1061,0.01687985236095202
sax18.01,1,045,79,0.001256841033473336
sax18.01,1,054,42,6.681939671630393e-4
sax18.01,1,055,165,0.0026250477281405116
sax18.01,1,058,818,0.013013872979508718
sax18.01,1,059,160,0.0025455008272877687
sax18.01,1,066,6314,0.10045182639684358
sax18.01,1,077,486,0.007731958762886598
sax18.01,1,080,62,9.863815705740105e-4
sax18.01,1,087,226,0.0035955199185439737
sax18.01,1,095,56,8.909252895507191e-4
sax18.01,1,122,33,5.250095456281024e-4
sax18.01,1,127,998,0.015877561410207457
sax18.01,1,134,314,0.004995545373552246
sax18.01,1,159,42,6.681939671630393e-4
sax18.01,1,165,17,2.7045946289932545e-4
sax18.01,1,168,15,2.3864070255822834e-4
sax18.01,1,176,695,0.011057019218531246
sax18.01,1,183,10,1.5909380170548554e-4
sax18.01,1,188,126,0.002004581901489118
sax18.01,1,192,497,0.007906961944762632
sax18.01,1,193,184,0.0029273259513809343
sax18.01,1,200,213,0.0033886979763268423
sax18.01,1,208,425,0.006761486572483136
sax18.01,1,212,40,6.363752068219422e-4
sax18.01,1,246,191,0.003038691612574774
sax18.01,1,247,256,0.00407280132366043
sax18.01,1,251,159,0.0025295914471172203
sax18.01,1,260,130,0.0020682194221713123
sax18.01,1,265,32,5.091001654575538e-4
sax18.01,1,285,93,0.0014795723558610157
sax18.01,1,290,113,0.0017977599592719868
sax18.01,1,312,107,0.0017023036782486953
sax18.01,1,313,82,0.0013045691739849816
sax18.01,1,314,77,0.0012250222731322387
sax18.01,1,315,140,0.0022273132238767976
sax18.01,1,334,46,7.318314878452336e-4
sax18.01,1,335,61,9.704721904034619e-4
sax18.01,1,341,8,1.2727504136438844e-4
sax18.01,1,367,99,0.001575028636884307
sax18.01,1,370,4,6.363752068219422e-5
sax18.01,1,380,13,2.068219422171312e-4
sax18.01,1,399,6,9.545628102329134e-5
sax18.01,1,405,73,0.0011613847524500444
sax18.01,1,445,24,3.8182512409316535e-4
sax18.01,1,470,50,7.954690085274278e-4
sax18.01,1,504,11,1.750031818760341e-4
sax18.01,1,520,12,1.9091256204658267e-4
sax18.01,1,534,8,1.2727504136438844e-4
sax18.01,1,535,27,4.29553264604811e-4
sax18.01,1,539,17,2.7045946289932545e-4
sax18.01,1,600,12,1.9091256204658267e-4
sax18.01,1,604,11,1.750031818760341e-4
sax18.01,1,605,5,7.954690085274277e-5
sey18.25,1,001,82,8.602421266863892e-4
sey18.25,1,003,214,0.0022450221354986255
sey18.25,1,004,275,0.0028849583516921593
sey18.25,1,007,1407,0.014760496003021338
sey18.25,1,008,86,9.022051572564571e-4
sey18.25,1,011,7916,0.08304483749816412
sey18.25,1,015,31661,0.3321478777197289
sey18.25,1,017,6240,0.06546232768930572
sey18.25,1,018,23,2.4128742577788967e-4
sey18.25,1,021,116,0.0012169278865319653
sey18.25,1,029,6,6.294454585510165e-5
sey18.25,1,033,9887,0.10372212081156501
sey18.25,1,039,7116,0.07465223138415056
sey18.25,1,047,2561,0.02686683032248589
sey18.25,1,049,4035,0.04233020708755586
sey18.25,1,072,4438,0.04655798241749019
sey18.25,1,076,2718,0.02851387927236105
sey18.25,1,080,31,3.2521348691802525e-4
sey18.25,1,089,2201,0.02309015757117979
sey18.25,1,096,448,0.0046998594238475905
sey18.25,1,098,2162,0.02268101802312163
sey18.25,1,101,2514,0.026373764713287593
sey18.25,1,111,23,2.4128742577788967e-4
sey18.25,1,116,1682,0.017645454354713496
sey18.25,1,117,1955,0.020509431191120624
sey18.25,1,125,308,0.0032311533538952183
sey18.25,1,129,341,0.0035773483560982773
sey18.25,1,149,1115,0.011697194771406391
sey18.25,1,173,541,0.005675499884601666
sey18.25,1,175,426,0.004469062755712218
sey18.25,1,183,25,2.6226894106292357e-4
sey18.25,1,193,66,6.923900044061182e-4
sey18.25,1,195,468,0.004909674576697929
sey18.25,1,204,164,0.0017204842533727785
sey18.25,1,214,54,5.665009126959149e-4
sey18.25,1,221,195,0.002045697740290804
sey18.25,1,257,167,0.0017519565263003293
sey18.25,1,275,227,0.002381401984851346
sey18.25,1,278,176,0.0018463733450829818
sey18.25,1,283,137,0.0014372337970248211
sey18.25,1,291,61,6.399362161935335e-4
sey18.25,1,319,81,8.497513690438723e-4
sey18.25,1,321,94,9.861312183965926e-4
sey18.25,1,338,105,0.001101529552464279
sey18.25,1,340,28,2.937412139904744e-4
sey18.25,1,365,101,0.0010595665218942113
sey18.25,1,366,63,6.609177314785674e-4
sey18.25,1,385,70,7.34353034976186e-4
sey18.25,1,402,76,7.972975808312877e-4
sey18.25,1,407,26,2.7275969870544053e-4
sey18.25,1,413,71,7.448437926187029e-4
sey18.25,1,419,32,3.3570424456054216e-4
sey18.25,1,432,65,6.818992467636012e-4
sey18.25,1,434,64,6.714084891210843e-4
sey18.25,1,442,60,6.294454585510166e-4
sey18.25,1,454,56,5.874824279809488e-4
sey18.25,1,462,23,2.4128742577788967e-4
sey18.25,1,510,13,1.3637984935272027e-4
sey18.25,1,579,17,1.7834287992278802e-4
sey18.25,1,611,9,9.441681878265249e-5
sey18.25,2,001,379,0.0040886779222180265
sey18.25,2,003,33,3.560062570796699e-4
sey18.25,2,004,92,9.925022924645343e-4
sey18.25,2,005,60,6.47284103781218e-4
sey18.25,2,007,793,0.00855493823830843
sey18.25,2,008,135,0.0014563892335077405
sey18.25,2,011,1436,0.015491666217163818
sey18.25,2,015,41964,0.45271050218458386
sey18.25,2,017,4502,0.04856788392038405
sey18.25,2,021,603,0.006505205243001241
sey18.25,2,025,58,6.257079669885107e-4
sey18.25,2,032,17,1.8339716273801175e-4
sey18.25,2,033,11220,0.12104212740708777
sey18.25,2,039,8857,0.09554992178650412
sey18.25,2,047,1524,0.016441016236042938
sey18.25,2,049,5998,0.06470683424132909
sey18.25,2,072,1362,0.014693349155833648
sey18.25,2,076,3146,0.03393926317492853
sey18.25,2,089,2308,0.024898861858784184
sey18.25,2,096,209,0.0022547062948379093
sey18.25,2,098,1006,0.010852796806731754
sey18.25,2,101,685,0.007389826851502239
sey18.25,2,116,909,0.009806354172285453
sey18.25,2,117,801,0.00864124278547926
sey18.25,2,125,344,0.0037110955283456495
sey18.25,2,129,251,0.002707805167484762
sey18.25,2,149,306,0.0033011489292842115
sey18.25,2,173,434,0.004682021684017477
sey18.25,2,175,325,0.0035061222288149305
sey18.25,2,193,52,5.609795566103889e-4
sey18.25,2,195,281,0.0030314472193753708
sey18.25,2,204,486,0.0052430012406278655
sey18.25,2,214,554,0.005976589891579912
sey18.25,2,216,42,4.530988726468526e-4
sey18.25,2,221,76,8.198931981228761e-4
sey18.25,2,257,217,0.0023410108420087385
sey18.25,2,275,83,8.954096768973515e-4
sey18.25,2,278,113,0.0012190517287879606
sey18.25,2,283,41,4.4231080425049895e-4
sey18.25,2,291,124,0.0013377204811478504
sey18.25,2,305,196,0.002114461405685312
sey18.25,2,319,64,6.904363773666325e-4
sey18.25,2,338,27,2.9127784670154806e-4
sey18.25,2,340,102,0.0011003829764280706
sey18.25,2,347,117,0.001262204002373375
sey18.25,2,366,26,2.8048977830519447e-4
sey18.25,2,385,20,2.1576136792707265e-4
sey18.25,2,407,44,4.7467500943955984e-4
sey18.25,2,419,18,1.941852311343654e-4
sey18.25,2,431,51,5.501914882140353e-4
sey18.25,2,450,57,6.149198985921571e-4
sey18.25,2,462,26,2.8048977830519447e-4
sey18.25,2,485,44,4.7467500943955984e-4
sey18.25,2,521,30,3.23642051890609e-4
sey18.25,2,522,30,3.23642051890609e-4
sey18.25,2,580,17,1.8339716273801175e-4
sey18.74,3,001,80,0.001264042724644093
sey18.74,3,003,24108,0.3809192750714974
sey18.74,3,004,53,8.374283050767116e-4
sey18.74,3,006,37304,0.5894231225015405
sey18.74,3,008,80,0.001264042724644093
sey18.74,3,009,8,1.264042724644093e-4
sey18.74,3,011,17,2.686090789868698e-4
sey18.74,3,016,448,0.007078639258006921
sey18.74,3,021,43,6.794229644962e-4
sey18.74,3,029,24,3.792128173932279e-4
sey18.74,3,057,334,0.005277378375389088
sey18.74,3,067,13,2.054069427546651e-4
sey18.74,3,087,577,0.009116908151495521
sey18.74,3,096,16,2.528085449288186e-4
sey18.74,3,136,16,2.528085449288186e-4
sey18.74,3,151,69,0.0010902368500055302
sey18.74,3,294,99,0.001564252871747065
sey18.74,1,001,42,6.428309048610261e-4
sey18.74,1,002,8,1.224439818782907e-4
sey18.74,1,003,22929,0.3509397575609159
sey18.74,1,004,63,9.642463572915391e-4
sey18.74,1,006,40775,0.6240816701359129
