sample_id,protocol,asv_id,n_reads,rel_abund
sky18.24,3,002,28,2.619784990503279e-4
sky18.24,3,012,26951,0.2521636617109067
sky18.24,3,013,65,6.081643727954042e-4
sky18.24,3,019,3405,0.03185845675951309
sky18.24,3,020,17943,0.1678814360164298
sky18.24,3,021,225,0.0021051843673687066
sky18.24,3,031,17824,0.1667680273954659
sky18.24,3,034,270,0.002526221240842448
sky18.24,3,035,8361,0.07822865109142114
sky18.24,3,036,6200,0.05800952478971547
sky18.24,3,038,2450,0.022923118666903695
sky18.24,3,040,31,2.9004762394857736e-4
sky18.24,3,044,15,1.4034562449124712e-4
sky18.24,3,054,2691,0.02517800503372973
sky18.24,3,055,1314,0.012294276705433246
sky18.24,3,058,644,0.006025505478157543
sky18.24,3,063,46,4.303932484398245e-4
sky18.24,3,081,394,0.0036864117366367573
sky18.24,3,085,269,0.0025168648658763647
sky18.24,3,090,1938,0.018132654684269126
sky18.24,3,092,1507,0.014100057073887293
sky18.24,3,095,3181,0.02976262876711047
sky18.24,3,098,13,1.2163287455908083e-4
sky18.24,3,113,201,0.0018806313681827113
sky18.24,3,118,307,0.0028724071145875244
sky18.24,3,119,902,0.008439450219406994
sky18.24,3,122,414,0.0038735392359584204
sky18.24,3,128,587,0.005492192105090804
sky18.24,3,130,148,0.001384743494980305
sky18.24,3,132,483,0.004519129108618157
sky18.24,3,136,118,0.0011040522459978106
sky18.24,3,140,264,0.002470082991045949
sky18.24,3,150,135,0.001263110620421224
sky18.24,3,152,239,0.0022361736168938708
sky18.24,3,158,54,5.052442481684896e-4
sky18.24,3,159,700,0.0065494624762581985
sky18.24,3,161,967,0.009047614592202397
sky18.24,3,194,261,0.0024420138661477
sky18.24,3,196,141,0.0013192488702177228
sky18.24,3,200,268,0.002507508490910282
sky18.24,3,211,537,0.005024373356786647
sky18.24,3,219,94,8.794992468118152e-4
sky18.24,3,222,495,0.004631405608211155
sky18.24,3,225,282,0.0026384977404354457
sky18.24,3,237,509,0.004762394857736318
sky18.24,3,247,32,2.994039989146605e-4
sky18.24,3,250,91,8.514301219135659e-4
sky18.24,3,254,22,2.058402492538291e-4
sky18.24,3,259,381,0.003564778862077677
sky18.24,3,268,213,0.001992907867775709
sky18.24,3,286,87,8.140046220492332e-4
sky18.24,3,311,183,0.0017122166187932147
sky18.24,3,327,148,0.001384743494980305
sky18.24,3,331,146,0.0013660307450481385
sky18.24,3,341,73,6.830153725240692e-4
sky18.24,3,348,116,0.0010853394960656443
sky18.24,3,349,116,0.0010853394960656443
sky18.24,3,354,13,1.2163287455908083e-4
sky18.24,3,356,107,0.001001132121370896
sky18.24,3,359,106,9.917757464048128e-4
sky18.24,3,361,105,9.824193714387298e-4
sky18.24,3,362,104,9.730629964726466e-4
sky18.24,3,364,103,9.637066215065635e-4
sky18.24,3,371,97,9.075683717100646e-4
sky18.24,3,372,78,7.29797247354485e-4
sky18.24,3,383,91,8.514301219135659e-4
sky18.24,3,384,91,8.514301219135659e-4
sky18.24,3,389,88,8.233609970153164e-4
sky18.24,3,410,72,6.736589975579861e-4
sky18.24,3,420,68,6.362334976936536e-4
sky18.24,3,435,36,3.3682949877899307e-4
sky18.24,3,446,59,5.520261229989053e-4
sky18.24,3,460,20,1.871274993216628e-4
