sample_id,alias
aas18.01,A19.1
bre18.04,B26.1
bre18.05,B26.2
bre18.06,B26.3
bre18.07,B26.4
bre18.15,B26.5
bre18.08,B26.6
bre18.09,B26.7
bre18.02,B26.8
bre18.02x,B26.9
bre18.03,B26.10
bre18.10,B26.11
bre18.11,B26.12
bre18.12,B26.13
bre18.13,B26.14
bre18.01,B26.15
bre18.14,B26.16
bre18.16,B27.1
bre18.17,B27.2
bre18.18,B27.3
bre18.19,B27.4
bre18.rd,B27.5
bre18.st,B27.6
bre18.20,B27.7
bre18.21,B27.8
bre18.22,B27.9
fro18.12,F3.1
fro18.10,F3.2
fro18.11,F3.3
fro18.09,F3.4
fro18.08,F3.5
fro18.07,F3.6
fro18.06,F3.7
fro18.13,F3.8
fro18.13a,F3.9
fro18.13b,F3.10
fro18.13c,F3.11
fro18.05a,F3.12
fro18.05b,F3.13
fro18.04,F3.14
fro18.03,F3.15
fro18.02a,F3.16
fro18.02b,F3.17
fro18.02c,F3.18
fro18.01a,F3.19
fro18.01b,F3.20
fro18.01c,F3.21
gar18.03,G28.1
gar18.01,G28.2
gar18.02,G28.3
gar18.04,G28.4
hol18.44,H11.1
hol18.41,H11.2
hol18.42,H11.3
hol18.42b,H11.4
hol18.43,H11.5
hol18.40,H11.6
hol18.49,H13.1
hol18.48,H13.2
hol18.46,H13.3
hol18.47,H13.4
hol18.45,H13.5
hol18.57,H15.1
hol18.58,H15.2
hol18.55,H15.3
hol18.53,H15.4
hol18.54,H15.5
hol18.50,H15.6
hol18.51,H15.7
hol18.52,H15.8
hol18.10,H2.1
hol18.08,H2.2
hol18.01,H2.3
hol18.02,H2.4
hol18.03,H2.5
hol18.04,H2.6
hol18.05,H2.7
hol18.06,H2.8
hol18.07,H2.9
hol18.09,H2.10
hol18.11,H2.11
hol18.12,H2.12
hol18.13,H2.13
hol18.14,H2.14
hol18.15,H2.15
hol18.16,H2.16
hol18.17,H2.17
hol18.18,H2.18
hol18.59,H20.1
hol18.59b,H20.2
hol18.59bre,H20.3
hol18.19a,H4.1
hol18.19b,H4.2
hol18.20,H4.3
hol18.24,H4.4
hol18.22b,H4.5
hol18.22a,H4.6
hol18.23,H4.7
hol18.22c,H4.8
hol18.22d,H4.9
hol18.21,H4.10
hol18.25b,H4.11
hol18.25a,H4.12
hol18.26,H4.13
hol18.26b,H4.14
hol18.26c,H4.15
hol18.26d,H4.16
hol18.27,H4.17
hol18.28,H4.18
hol18.28c,H4.19
hol18.28b,H4.20
hol18.29,H4.21
hol18.30,H4.22
hol18.31b,H4.23
hol18.31,H4.24
hol18.31c,H4.25
hol18.39b,H7.1
hol18.39c,H7.2
hol18.39a,H7.3
hol18.39d,H7.4
hol18.39e,H7.5
hol18.38,H7.6
hol18.37,H7.7
hol18.36,H7.8
hol18.35,H7.9
hol18.34,H7.10
hol18.33,H7.11
hol18.32,H7.12
hol18.31.5,H7.13
sky18.23,K13.1
sky18.14,K16.1
sky18.13,K16.2
sky18.19b,K22.1
sky18.19,K22.2
sky18.20,K22.3
sky18.20re,K22.4
sky18.21,K22.5
sky18.18,K22.6
sky18.18sc,K22.7
sky18.18,K22.8
sky18.22,K22.9
sky18.23,K22.10
sky18.23r,K22.11
sky18.17,K22.12
sky18.16,K22.13
sky18.16x,K22.14
sky18.16y,K22.15
sky18.16z,K22.16
sky18.15xb,K22.17
sky18.15gb,K22.18
sky18.15,K22.19
sky18.15g,K22.20
sky18.15r,K22.21
sky18.15x,K22.22
sky18.24,K32.1
sky18.27,K32.2
sky18.28,K32.3
sky18.25,K32.4
sky18.26,K32.5
sky18.04,K5.1
sky18.06,K5.2
sky18.05b,K5.3
sky18.05,K5.4
sky18.07,K5.5
sky18.08,K5.6
sky18.09,K5.7
sky18.03,K5.8
sky18.10,K5.9
sky18.02,K5.10
sky18.11,K5.11
sky18.01,K5.12
sky18.01b,K5.13
sky18.12,K5.14
lib18.01,L30.1
stm18.01a,M10.1
stm18.01b,M10.2
stm18.01c,M10.3
nes18.01,N24.1
nes18.03b,N24.2
nes18.02,N24.3
nes18.02b,N24.4
nes18.03,N24.5
nes18.04,N24.6
nes18.05,N24.7
pan18.06,P33.1
pan18.08,P33.2
pan18.07,P33.3
pan18.05,P33.4
pan18.01,P33.5
pan18.04,P33.6
pan18.02,P33.7
pan18.03,P33.8
pan18.ro,P33.9
