station,ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,datetime,SNOW_ON_THE_GROUND,MAX_TEMP,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,MAXIMUM_MEASURED_WIND_SPEED1,CURRENT_AIR_TEMPERATURE2,RELATIVE_HUMIDITY1,HEIGHT_OF_SNOW
grouse,0,0,-6,0,2018-01-01T00:00:00Z,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grouse,0,0,-2,0,2018-01-02T00:00:00Z,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grouse,0,0,4,0,2018-01-03T00:00:00Z,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grouse,5,5,4,0,2018-01-04T00:00:00Z,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grouse,77,77,2,0,2018-01-05T00:00:00Z,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grouse,5,2,-1,3,2018-01-06T00:00:00Z,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grouse,35,7,NA,28,2018-01-07T00:00:00Z,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grouse,3,0,-2,3,2018-01-08T00:00:00Z,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grouse,0,0,-1,0,2018-01-09T00:00:00Z,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grouse,5,0,-3.5,5,2018-01-10T00:00:00Z,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
