asv_id,phylum,class,order,family,genus,species,phylum_conf,class_conf,order_conf,family_conf,genus_conf,species_conf,id_level,best_assignment
001,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,NA,99.99999999999994,98.99852657430365,98.99852657430365,97.2552061523313,80.96238839656701,80.96238839656701,genus,Chloromonas
002,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadalesincertaesedis,Sanguina,Sanguina_nivaloides,100,99.10917972747596,99.10917972747596,94.47717895185409,93.55123613884336,66.92659387271344,species,Sanguina_nivaloides
003,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,NA,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,93.19145662839477,93.19145662839477,genus,Chloromonas
009,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,NA,85.94050896870682,85.94050896870682,85.17687710957516,82.28633437747807,77.407210426909,77.407210426909,genus,Chloromonas
012,Chlorophyta,Trebouxiophyceae,Prasiolales,Koliellaceae,NA,NA,100.00000000000001,100.00000000000001,61.03493548874835,61.03493548874835,61.03493548874835,NA,family,Koliellaceae
015,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadalesincertaesedis,Sanguina,Sanguina_nivaloides,97.85474826850103,97.85474826850103,97.07958208169867,87.49595229400875,86.61927124561706,65.80252721342038,species,Sanguina_nivaloides
020,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,NA,NA,84.71944712072982,84.71944712072982,84.71944712072982,83.33778563330264,83.33778563330264,NA,family,Chlamydomonadaceae
025,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,NA,99.80173220693676,99.80173220693676,99.80173220693676,99.80173220693676,91.06310302466144,91.06310302466144,genus,Chloromonas
027,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,NA,84.21839414945151,84.21839414945151,84.21839414945151,84.21839414945151,79.28984911507375,79.28984911507375,genus,Chloromonas
028,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadalesincertaesedis,Sanguina,Sanguina_nivaloides,88.30708066089943,87.63238749562998,86.94673312454853,81.58721578078928,81.58721578078928,60.16029223180558,species,Sanguina_nivaloides
