asv_id,otu_name
001,Chloromonas krienitzii D
002,Sanguina B
003,Chlainomonas A
004,Chloromonas muramotoi E
005,Chlainomonas A
006,Chlainomonas A
007,Chloromonas F
008,Chloromonas muramotoi E
009,Sanguina B
010,Chloromonas H
011,Chlainomonas A
012,Algae G
013,Sanguina B
014,Sanguina B
015,Chloromonas krienitzii D
016,Chlainomonas A
017,Chloromonas F
018,Chloromonas F
019,Chloromonas spp. C
020,Sanguina B
021,Chloromonas spp. C
022,Sanguina B
023,Chlainomonas A
024,Chloromonas krienitzii D
025,Chloromonas spp. C
026,Chloromonas spp. C
027,Sanguina B
028,Chloromonas spp. C
029,Algae G
030,Chlainomonas A
031,Chlainomonas A
032,Sanguina B
033,Chloromonas krienitzii D
034,Chloromonas spp. C
035,Chloromonas H
036,Sanguina B
037,Chlainomonas A
038,Chloromonas spp. C
039,Chloromonas krienitzii D
040,Algae G
041,Chloromonas F
042,Sanguina B
043,Trebouxiophyceae I
044,Chloromonas krienitzii D
045,Chloromonas spp. C
046,Chloromonas muramotoi E
047,Chloromonas muramotoi E
048,Chlainomonas A
049,Chloromonas krienitzii D
050,Chloromonas krienitzii D
051,Sanguina B
052,Chlainomonas A
053,Chlainomonas A
054,Chloromonas spp. C
055,Algae G
056,Chlainomonas A
057,Chlainomonas A
058,Algae G
059,Chloromonas H
060,Chloromonas spp. C
061,Chloromonas spp. C
062,Chlainomonas A
063,Chloromonas F
064,Chloromonas spp. C
065,Chloromonas spp. C
066,Trebouxiophyceae I
067,Chlainomonas A
068,Chlainomonas A
069,Chloromonas krienitzii D
070,Chlainomonas A
071,Chloromonas spp. C
072,Chloromonas spp. C
073,Chloromonas spp. C
074,Chlainomonas A
075,Chloromonas spp. C
076,Chloromonas krienitzii D
077,Chloromonas spp. C
078,Chloromonas H
079,Chloromonas spp. C
080,Chloromonas spp. C
081,Sanguina B
082,Chlainomonas A
083,Chloromonas spp. C
084,Chloromonas spp. C
085,Chloromonas spp. C
086,Chloromonas muramotoi E
087,Chlainomonas A
088,Chloromonas F
089,Chloromonas muramotoi E
090,Chloromonas spp. C
091,Chloromonas muramotoi E
092,Algae G
093,Sanguina B
094,Chlainomonas A
095,Chloromonas F
096,Chloromonas spp. C
097,Sanguina B
098,Trebouxiophyceae I
099,Chloromonas F
100,Chlainomonas A
101,Chloromonas spp. C
102,Chloromonas F
103,Chloromonas spp. C
104,Chloromonas krienitzii D
105,Chloromonas spp. C
106,Chloromonas krienitzii D
107,Chloromonas muramotoi E
108,Chloromonas spp. C
109,Sanguina B
110,Chlainomonas A
111,Chloromonas spp. C
112,Chloromonas spp. C
113,Chloromonas muramotoi E
114,Chloromonas krienitzii D
115,Trebouxiophyceae I
116,Chloromonas muramotoi E
117,Chloromonas spp. C
118,Chloromonas H
119,Sanguina B
120,Chloromonas F
121,Algae G
122,Chloromonas spp. C
123,Trebouxiophyceae I
124,Chloromonas spp. C
125,Chloromonas muramotoi E
126,Chloromonas H
127,Algae G
128,Chloromonas spp. C
129,Chloromonas spp. C
130,Chloromonas F
131,Sanguina B
132,Algae G
133,Chlainomonas A
134,Chloromonas F
135,Chloromonas H
136,Chloromonas H
138,Chloromonas F
139,Trebouxiophyceae I
140,Algae G
141,Chloromonas muramotoi E
142,Chloromonas spp. C
143,Chlainomonas A
144,Chloromonas muramotoi E
145,Chlainomonas A
146,Chloromonas spp. C
147,Sanguina B
148,Chloromonas spp. C
149,Trebouxiophyceae I
150,Chloromonas H
151,Chlainomonas A
152,Chloromonas spp. C
153,Chloromonas H
154,Chloromonas spp. C
155,Sanguina B
156,Sanguina B
157,Chloromonas krienitzii D
158,Chloromonas spp. C
159,Chloromonas spp. C
160,Chloromonas F
161,Chlainomonas A
162,Chloromonas krienitzii D
163,Chloromonas muramotoi E
164,Chloromonas spp. C
165,Chloromonas spp. C
166,Chloromonas muramotoi E
167,Chloromonas spp. C
168,Chloromonas muramotoi E
169,Chloromonas spp. C
170,Chlainomonas A
171,Chloromonas krienitzii D
172,Chloromonas spp. C
173,Chloromonas spp. C
174,Chloromonas muramotoi E
175,Chloromonas spp. C
176,Trebouxiophyceae I
177,Chloromonas spp. C
178,Chlainomonas A
179,Trebouxiophyceae I
180,Chlainomonas A
181,Chloromonas F
182,Sanguina B
183,Sanguina B
184,Chloromonas spp. C
185,Chloromonas spp. C
186,Chloromonas spp. C
187,Chloromonas spp. C
188,Chloromonas spp. C
189,Chloromonas F
190,Chlainomonas A
191,Algae G
192,Chloromonas spp. C
193,Chloromonas muramotoi E
194,Chloromonas spp. C
195,Chloromonas spp. C
196,Chloromonas H
197,Chloromonas muramotoi E
198,Chloromonas spp. C
199,Chloromonas spp. C
200,Algae G
201,Chloromonas krienitzii D
202,Chlainomonas A
203,Chloromonas krienitzii D
204,Chloromonas spp. C
205,Chloromonas spp. C
206,Chloromonas F
207,Chlainomonas A
208,Algae G
209,Chloromonas spp. C
210,Chloromonas spp. C
211,Chloromonas H
212,Chloromonas spp. C
213,Algae G
214,Chloromonas spp. C
215,Sanguina B
216,Chloromonas krienitzii D
217,Algae G
218,Chloromonas spp. C
219,Sanguina B
220,Chloromonas spp. C
221,Chloromonas muramotoi E
222,Chloromonas spp. C
223,Sanguina B
224,Chlainomonas A
225,Chloromonas krienitzii D
226,Algae G
227,Chloromonas spp. C
228,Algae G
229,Chloromonas F
230,Chlainomonas A
231,Sanguina B
232,Chloromonas spp. C
233,Chloromonas spp. C
234,Chloromonas spp. C
235,Chlainomonas A
236,Chloromonas spp. C
237,Sanguina B
238,Chloromonas krienitzii D
239,Chlainomonas A
240,Chloromonas muramotoi E
241,Chloromonas spp. C
242,Chloromonas krienitzii D
243,Sanguina B
244,Sanguina B
245,Chlainomonas A
246,Chloromonas spp. C
247,Trebouxiophyceae I
248,Chloromonas muramotoi E
249,Chloromonas F
250,Chloromonas spp. C
251,Chloromonas spp. C
252,Chlainomonas A
253,Chloromonas spp. C
254,Chloromonas F
255,Chloromonas F
256,Chloromonas H
257,Chloromonas spp. C
258,Chloromonas muramotoi E
259,Trebouxiophyceae I
260,Chloromonas spp. C
261,Chloromonas F
262,Chlainomonas A
263,Chloromonas spp. C
264,Chloromonas spp. C
265,Chloromonas muramotoi E
266,Sanguina B
267,Chlainomonas A
268,Chloromonas spp. C
269,Chlainomonas A
270,Chloromonas spp. C
271,Chlainomonas A
272,Chlainomonas A
273,Chlainomonas A
274,Chloromonas spp. C
275,Chloromonas spp. C
276,Chloromonas krienitzii D
277,Algae G
278,Trebouxiophyceae I
279,Chloromonas muramotoi E
280,Chlainomonas A
281,Chlainomonas A
282,Chloromonas H
283,Chloromonas krienitzii D
284,Trebouxiophyceae I
285,Chloromonas spp. C
286,Algae G
287,Chloromonas spp. C
288,Chloromonas spp. C
289,Chlainomonas A
290,Algae G
291,Trebouxiophyceae I
292,Chloromonas F
293,Chloromonas spp. C
294,Chlainomonas A
295,Chlainomonas A
296,Chloromonas krienitzii D
297,Sanguina B
298,Chloromonas krienitzii D
299,Chloromonas muramotoi E
300,Chloromonas muramotoi E
301,Chloromonas spp. C
302,Chlainomonas A
303,Chlainomonas A
304,Chloromonas spp. C
305,Chloromonas spp. C
306,Sanguina B
307,Chlainomonas A
308,Chloromonas spp. C
309,Chloromonas spp. C
310,Chloromonas H
311,Algae G
312,Algae G
313,Chloromonas F
314,Chloromonas spp. C
315,Chloromonas spp. C
316,Chloromonas spp. C
317,Chloromonas spp. C
318,Chloromonas spp. C
319,Chloromonas spp. C
320,Chloromonas krienitzii D
321,Trebouxiophyceae I
322,Chloromonas muramotoi E
323,Sanguina B
324,Chloromonas spp. C
325,Chloromonas spp. C
326,Algae G
327,Chloromonas spp. C
328,Chlainomonas A
329,Chloromonas spp. C
330,Chlainomonas A
331,Chlainomonas A
332,Chloromonas spp. C
333,Chlainomonas A
334,Chloromonas spp. C
335,Chloromonas F
336,Chloromonas spp. C
337,Chloromonas F
338,Chloromonas spp. C
339,Chlainomonas A
340,Trebouxiophyceae I
341,Chloromonas H
342,Chloromonas krienitzii D
343,Sanguina B
344,Chlainomonas A
345,Chloromonas muramotoi E
346,Chloromonas spp. C
347,Chloromonas spp. C
348,Chlainomonas A
349,Chloromonas H
350,Sanguina B
351,Chloromonas spp. C
352,Chloromonas spp. C
353,Trebouxiophyceae I
354,Chloromonas spp. C
355,Chloromonas spp. C
356,Chloromonas krienitzii D
358,Sanguina B
359,Chloromonas spp. C
360,Chloromonas H
361,Trebouxiophyceae I
362,Algae G
363,Chloromonas spp. C
364,Chloromonas H
366,Trebouxiophyceae I
368,Chloromonas spp. C
369,Trebouxiophyceae I
370,Trebouxiophyceae I
371,Chloromonas spp. C
372,Chloromonas spp. C
374,Chloromonas spp. C
375,Chloromonas spp. C
376,Chloromonas muramotoi E
377,Chloromonas F
378,Chloromonas spp. C
379,Chlainomonas A
380,Trebouxiophyceae I
381,Chloromonas spp. C
382,Chloromonas krienitzii D
383,Chloromonas spp. C
384,Chloromonas H
385,Chloromonas muramotoi E
387,Sanguina B
388,Sanguina B
389,Chloromonas H
390,Chloromonas H
391,Chloromonas spp. C
392,Chloromonas spp. C
393,Chloromonas muramotoi E
394,Chlainomonas A
395,Chlainomonas A
397,Chloromonas spp. C
398,Chloromonas spp. C
399,Chloromonas spp. C
400,Chloromonas F
401,Chloromonas spp. C
403,Chloromonas spp. C
404,Chlainomonas A
407,Trebouxiophyceae I
408,Chloromonas krienitzii D
409,Chloromonas muramotoi E
410,Chloromonas spp. C
411,Sanguina B
412,Chloromonas F
414,Sanguina B
415,Chloromonas H
416,Chloromonas muramotoi E
417,Chloromonas muramotoi E
418,Sanguina B
419,Trebouxiophyceae I
420,Chloromonas spp. C
421,Chloromonas spp. C
422,Chloromonas spp. C
423,Chloromonas muramotoi E
424,Chloromonas spp. C
425,Trebouxiophyceae I
426,Chloromonas F
427,Chloromonas muramotoi E
428,Chloromonas spp. C
429,Trebouxiophyceae I
430,Chloromonas H
431,Trebouxiophyceae I
433,Chlainomonas A
435,Chloromonas spp. C
436,Chlainomonas A
437,Algae G
438,Algae G
439,Sanguina B
440,Chloromonas spp. C
441,Chlainomonas A
443,Chloromonas H
444,Chloromonas F
445,Chloromonas F
446,Chloromonas spp. C
447,Chlainomonas A
448,Trebouxiophyceae I
449,Chloromonas muramotoi E
450,Chloromonas spp. C
452,Chloromonas spp. C
453,Sanguina B
455,Chlainomonas A
456,Algae G
457,Chloromonas spp. C
458,Chloromonas muramotoi E
459,Chloromonas spp. C
460,Chloromonas spp. C
462,Trebouxiophyceae I
463,Chloromonas spp. C
464,Chloromonas spp. C
465,Chloromonas spp. C
466,Chloromonas H
467,Chlainomonas A
468,Chloromonas spp. C
469,Chloromonas spp. C
471,Chloromonas spp. C
472,Sanguina B
473,Sanguina B
474,Chloromonas F
475,Chloromonas F
476,Chloromonas F
477,Chloromonas spp. C
478,Chloromonas F
479,Algae G
480,Chloromonas F
481,Chloromonas spp. C
482,Chloromonas spp. C
483,Chloromonas muramotoi E
484,Chloromonas spp. C
485,Chloromonas muramotoi E
486,Chloromonas spp. C
487,Chloromonas spp. C
488,Trebouxiophyceae I
491,Chloromonas spp. C
492,Chloromonas spp. C
493,Chloromonas H
494,Trebouxiophyceae I
495,Chloromonas spp. C
496,Chlainomonas A
497,Chloromonas spp. C
498,Chloromonas spp. C
499,Algae G
500,Chloromonas spp. C
502,Chloromonas muramotoi E
503,Sanguina B
505,Chloromonas spp. C
506,Chloromonas F
507,Chlainomonas A
508,Chloromonas spp. C
509,Chlainomonas A
511,Chloromonas spp. C
512,Chlainomonas A
513,Chloromonas krienitzii D
514,Chloromonas spp. C
515,Chloromonas muramotoi E
516,Chloromonas spp. C
517,Chloromonas spp. C
518,Chloromonas spp. C
519,Chloromonas spp. C
521,Chloromonas krienitzii D
522,Chloromonas spp. C
523,Chloromonas spp. C
525,Chloromonas spp. C
526,Chloromonas spp. C
529,Chlainomonas A
530,Chloromonas H
531,Chloromonas spp. C
532,Sanguina B
533,Sanguina B
534,Trebouxiophyceae I
536,Trebouxiophyceae I
537,Algae G
538,Chloromonas spp. C
539,Chloromonas H
540,Chloromonas spp. C
541,Chloromonas muramotoi E
542,Chloromonas F
543,Sanguina B
544,Sanguina B
546,Chloromonas spp. C
547,Algae G
549,Chloromonas F
551,Chlainomonas A
552,Algae G
553,Trebouxiophyceae I
555,Chlainomonas A
