sample_id,alias
aas18.01,A1.1
bre18.04,B1.1
bre18.05,B1.2
bre18.06,B1.3
bre18.07,B1.4
bre18.15,B1.5
bre18.08,B1.6
bre18.09,B1.7
bre18.02,B1.8
bre18.02x,B1.9
bre18.03,B1.10
bre18.10,B1.11
bre18.11,B1.12
bre18.12,B1.13
bre18.13,B1.14
bre18.01,B1.15
bre18.14,B1.16
bre18.16,B2.1
bre18.17,B2.2
bre18.18,B2.3
bre18.19,B2.4
bre18.rd,B2.5
bre18.st,B2.6
bre18.20,B2.7
bre18.21,B2.8
bre18.22,B2.9
fro18.12,F1.1
fro18.10,F1.2
fro18.11,F1.3
fro18.09,F1.4
fro18.08,F1.5
fro18.07,F1.6
fro18.06,F1.7
fro18.13,F1.8
fro18.13a,F1.9
fro18.13b,F1.10
fro18.13c,F1.11
fro18.05a,F1.12
fro18.05b,F1.13
fro18.04,F1.14
fro18.03,F1.15
fro18.02a,F1.16
fro18.02b,F1.17
fro18.02c,F1.18
fro18.01a,F1.19
fro18.01b,F1.20
fro18.01c,F1.21
gar18.03,G1.1
gar18.01,G1.2
gar18.02,G1.3
gar18.04,G1.4
hol18.10,H1.1
hol18.08,H1.2
hol18.01,H1.3
hol18.02,H1.4
hol18.03,H1.5
hol18.04,H1.6
hol18.05,H1.7
hol18.06,H1.8
hol18.07,H1.9
hol18.09,H1.10
hol18.11,H1.11
hol18.12,H1.12
hol18.13,H1.13
hol18.14,H1.14
hol18.15,H1.15
hol18.16,H1.16
hol18.17,H1.17
hol18.18,H1.18
hol18.19a,H2.1
hol18.19b,H2.2
hol18.20,H2.3
hol18.24,H2.4
hol18.22b,H2.5
hol18.22a,H2.6
hol18.23,H2.7
hol18.22c,H2.8
hol18.22d,H2.9
hol18.21,H2.10
hol18.25b,H2.11
hol18.25a,H2.12
hol18.26,H2.13
hol18.26b,H2.14
hol18.26c,H2.15
hol18.26d,H2.16
hol18.27,H2.17
hol18.28,H2.18
hol18.28c,H2.19
hol18.28b,H2.20
hol18.29,H2.21
hol18.30,H2.22
